Last Name,First Name,Middle Initial,Institution,Associate/Full Member,PubMed URL,Lab Website,nih_profile_id,reporter_match_note
Abbas,Abul,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Abbas+A%5Bau%5D,https://profiles.ucsf.edu/abul.abbas,1874447,ok
Aguilar,Oscar,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/oscar.aguilar%20alfaro.1/bibliography/public/,https://aguilarlab.ucsf.edu/contact-us,,not_found
Akassoglou,Katerina ,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=akassoglou,http://akassogloulab.org,8033726,name_search_national_fallback
Akhurst,Rosemary,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1XoXpVdSYyIQq/bibliography/public/,https://cancer.ucsf.edu/people/akhurst.rosemary,6100515,ok
Alexanian,Michael,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Michael+Alexanian&sort=date,https://michaelalexanianlab.com/,78734691,name_search_national_fallback
Allen,Christopher,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=christopher%20d%20c%20allen&sort=date,https://bms.ucsf.edu/people/christopher-allen-phd,9823629,ok
Anderson,Mark,,UCSF,Member,https://www.ncbi.nlm.nih.gov/sites/myncbi/mark.anderson.1/collections/47630849/public/,https://andersonlab.ucsf.edu,1928581,ok
Andino,Raul,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Andino+raul,https://andino.ucsf.edu/,1858796,ok
Ansel,Karl Mark,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/pubmed/?term=Ansel+KM,https://ansel.ucsf.edu,9344360,alternate_first_name_variant
Arnold,Thomas,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Arnold+T%5Bau%5D,https://arnoldlab.ucsf.edu/,10543207,ok
Ashouri-Sinha,Judith,,UCSF,Member,http://www.ncbi.nlm.nih.gov/sites/myncbi/judith.ashouri.1/bibliography/48231084/public/?sort=date&direction=descending,https://ashourilab.ucsf.edu/,,not_found
Baranzini,Sergio,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/sergio.baranzini.2/bibliography/public/,https://baranzinilab.ucsf.edu,2089750,ok
Barcellos-Hoff,Mary Helen,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/mary%20helen.barcellos-hoff.1/bibliography/public/,https://cancer.ucsf.edu/people/profiles/barcellos-hoff_mary.6915,1940223,alternate_first_name_variant
Baron,Jody,,UCSF,Leadership Committee,http://www.ncbi.nlm.nih.gov/myncbi/browse/collection/46170360/?sort=date&direction=ascending,https://profiles.ucsf.edu/jody.baron,1930339,ok
Betancur,Paola,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1h7UdTQOmzzAZg/bibliography/public/,https://radonc.ucsf.edu/paola-betancur,10891598,ok
Bhattacharya,Mallar,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1hyab8c8hE3A_/bibliography/public/,https://bhattacharyalab.ucsf.edu,7674348,ok
Blelloch,Robert,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=blelloch+r&sort=date,https://blellochlab.ucsf.edu/,1952829,ok
Bluestone,Jeffrey,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Bluestone+J%5Bau%5D,https://bluestone.ucsf.edu,1877926,"ambiguous_profile_ids:{1877926: 88, 11125944: 7}"
Bondy-Demony,Joseph,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=bondy-denomy&sort=pubdate&size=100,https://bondydenomylab.com/,,not_found
Bruno,Peter,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/1JaA8rAqda557/bibliography/public/,https://brunolabucsf.com/,10661907,ok
Budzik,Jonathan,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1XYw9lH5WtU/bibliography/public/,https://medicine.ucsf.edu/people/jonathan-budzik,10377810,ok
Carnevale,Julia,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=Carnevale+Julia[Author],https://carnevale-lab.org/,12519251,ok
Chapman,Harold,,UCSF,Member,http://www.ncbi.nlm.nih.gov/sites/myncbi/harold.chapman.1/bibliograpahy/40691690/public/?sort=date&direction=ascending,https://profiles.ucsf.edu/harold.chapman,,not_found
Chan,Vincent,,UCSF,Leadership Committee,,https://ocr.ucsf.edu/,,not_found
Cho,Nam Woo,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=nam+woo+cho&sort=date,https://cholab.ucsf.edu/,1955985,"name_search_national_fallback;alternate_first_name_variant; grant_org_differs_from_csv; ambiguous_profile_ids:{7354307: 14, 15344193: 1, 1955985: 26}"
Cohen,Jarish,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/jarish.cohen.1/bibliography/public/,https://profiles.ucsf.edu/jarish.cohen,16207260,ok
Combes,Alexis,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/alexis.combes.1/bibliography/public/,https://colabs.ucsf.edu/disease-to-biology-colab,,not_found
Crouch,Betsy,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/elizabeth.crouch.1/bibliography/public/,https://crouchlab.ucsf.edu/,,not_found
Cyster,Jason,,UCSF,Leadership Committee,https://pubmed.ncbi.nlm.nih.gov/?term=cyster+jg&sort=date,https://cysterlab.ucsf.edu/,1969603,ok
Debnath,Jay,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/jayanta.debnath.1/bibliography/public/,https://debnathlab.ucsf.edu,2052828,ok
DeFranco,Anthony,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=DeFranco+A%5Bau%5D,https://profiles.ucsf.edu/anthony.defranco,6476370,ok
Deuse,Tobias,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=deuse+t,https://tsilab.ucsf.edu,14546654,ok
Dumesic,Phillip,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=dumesic-p&sort=date,https://diabetes.ucsf.edu/lab/dumesic-lab,9322256,ok
Engel,Joanne,,UCSF,Member,https://pubmed.ncbi.nlm.nih.gov/?term=joanne%20engel&sort=pubdate&page=7,https://profiles.ucsf.edu/joanne.engel,1867800,ok
Erle,David,,UCSF,Member,https://www.ncbi.nlm.nih.gov/sites/myncbi/david.erle.1/bibliography/40554417/public/?sort=date&direction=descending,https://profiles.ucsf.edu/david.erle,1881371,ok
Erlebacher,Adrian,,UCSF,Leadership Committee,http://www.ncbi.nlm.nih.gov/sites/myncbi/1Nyxzq-0qFOQm/bibliography/47674008/public/?sort=date&direction=descending,https://bms.ucsf.edu/people/adrian-erlebacher-md-phd,1952655,ok
Ernst,Joel,,UCSF,Leadership Committee,https://www.ncbi.nlm.nih.gov/myncbi/joel.ernst.2/bibliography/public/,https://experimentalmedicine.ucsf.edu/laboratories/ernst-lab,1860668,"ambiguous_profile_ids:{1860668: 49, 6506922: 1}"
Eyquem,Justin,,UCSF,Member,https://www.ncbi.nlm.nih.gov/myncbi/1ZmvAV_nFn85En/bibliography/public/,https://www.eyquemlab.org/,,not_found
